timestamp,batch,episode_len,augmented_samples,buffer_size,loss,entropy,kl,lr_multiplier,effective_lr,explained_var_old,explained_var_new,update_steps,win_ratio,eval_wins,eval_losses,eval_ties,pure_mcts_playout_num,best_win_ratio
0.898,1,15,120,120,4.41929817199707,3.5808141231536865,0.007209789,1.5,0.003,-0.002380582324392977,0.3211825669587831,3,,,,,100,0.0
1.204,2,13,104,224,3.954261302947998,3.557650089263916,0.003285435,2.25,0.0045000000000000005,0.32176335347191487,0.7613317394640831,3,,,,,100,0.0
1.397,3,10,80,304,4.334570407867432,3.5528934001922607,0.10839194,1.5,0.003,0.3113288156693439,-0.0309652122223667,1,,,,,100,0.0
1.702,4,16,128,432,4.594536304473877,3.507425546646118,0.12510467,1.0,0.002,0.00391034559372283,0.0051050891882538085,1,,,,,100,0.0
1.892,5,11,88,520,4.5037922859191895,3.565284013748169,0.0022011152,1.5,0.003,0.010136759208812629,0.013462706431275118,3,0.25,1,3,0,100,0.25
3.236,6,19,152,672,4.507791519165039,3.5129153728485107,0.034901917,1.5,0.003,0.01531128800596726,0.01899759605417839,3,,,,,100,0.25
3.544,7,17,136,808,4.459923267364502,3.5416388511657715,0.003945341,2.25,0.0045000000000000005,0.023085427562748007,0.042445628909166255,3,,,,,100,0.25
3.987,8,23,184,992,4.605829238891602,3.576150894165039,0.016067628,2.25,0.0045000000000000005,0.03583798794813853,0.054620113383032964,3,,,,,100,0.25
4.134,9,7,56,1000,4.592399597167969,3.499025344848633,0.009902297,3.375,0.00675,0.11087557368993683,0.18212182049459802,3,,,,,100,0.25
4.374,10,13,104,1000,4.421886920928955,3.5808229446411133,0.03216246,3.375,0.00675,0.17457888149219813,0.4129785633124877,3,0.0,0,4,0,100,0.25
5.826,11,12,96,1000,4.525323390960693,3.5817060470581055,0.000104133745,5.0625,0.010125,0.04559222276946018,0.05809589280198735,3,,,,,100,0.25
6.163,12,17,136,1000,4.126454830169678,3.5794777870178223,0.004209473,7.59375,0.0151875,0.2790974890233501,0.5317364405603948,3,,,,,100,0.25
6.477,13,16,128,1000,4.459541320800781,3.579380989074707,0.0025433325,11.390625,0.02278125,0.25452626164037095,0.2544938630230047,3,,,,,100,0.25
6.635,14,7,56,1000,4.357301712036133,3.578193187713623,0.00066688587,11.390625,0.02278125,0.29854269262648625,0.2735700251781348,3,,,,,100,0.25
6.875,15,12,96,1000,4.614046096801758,3.5738587379455566,0.0007756145,11.390625,0.02278125,0.1534968193989893,0.01887682898843024,3,0.0,0,4,0,100,0.25
8.568,16,12,96,1000,4.813868522644043,3.567622661590576,0.0009705205,11.390625,0.02278125,-0.39368733452796345,-0.06847495105925838,3,,,,,100,0.25
8.783,17,11,88,1000,4.4215521812438965,3.5588433742523193,0.0011234271,11.390625,0.02278125,0.14764971514463687,0.14749134730680502,3,,,,,100,0.25
9.038,18,14,112,1000,4.49901819229126,3.548252582550049,0.0011356516,11.390625,0.02278125,-0.046437014640404284,-0.01231912587349937,3,,,,,100,0.25
9.215,19,9,72,1000,4.710324287414551,3.536367893218994,0.001095906,11.390625,0.02278125,-0.08260759897563297,-0.034201641920570625,3,,,,,100,0.25
9.462,20,11,88,1000,4.478454113006592,3.523087501525879,0.001062268,11.390625,0.02278125,-0.11183434039217266,0.00897005945699958,3,0.5,2,2,0,100,0.5
