variant,window_size,policy_top_k,include_threats,games,wins,losses,ties,win_ratio,avg_candidate_moves,baseline_avg_candidate_moves,candidate_reduction,seconds,baseline_seconds,seconds_per_move,baseline_seconds_per_move,time_reduction,strength_preserved
window6,6,,True,2,1,1,0,0.5,27.285714285714285,53.285714285714285,0.4879356568364611,1.0096495419275016,0.7496174178086221,0.04807854961559531,0.03569606751469629,-0.3468864489288932,1.0
window6_top20,6,20,True,2,0,2,0,0.0,19.61904761904762,52.54545454545455,0.62662712143681,0.7771557925734669,0.7192659175489098,0.037007418693974614,0.03269390534313226,-0.13193631368203795,0.0
window5_top12,5,12,True,2,1,0,1,0.75,9.386363636363637,37.72727272727273,0.7512048192771084,1.5930673705879599,1.6236461289227009,0.03620607660427182,0.03690104838460684,0.0188333885013664,1.0
