variant,candidate_reduction,time_reduction,win_ratio,strength_preserved
window6,0.4879356568364611,-0.3468864489288932,0.5,1.0
window6_top20,0.62662712143681,-0.13193631368203795,0.0,0.0
window5_top12,0.7512048192771084,0.0188333885013664,0.75,1.0
