timestamp,batch,episode_len,augmented_samples,buffer_size,loss,entropy,kl,lr_multiplier,effective_lr,explained_var_old,explained_var_new,update_steps,win_ratio,eval_wins,eval_losses,eval_ties,best_win_ratio,opponent_type
11.492,1,15,120,120,,,,,,,,,,,,,0.0,pure_mcts
36.408,2,37,296,416,,,,,,,,,,,,,0.0,pure_mcts
49.395,3,21,168,584,4.579707145690918,4.103403091430664,0.15609035,0.6666666666666666,0.0013333333333333333,0.0011614559240634703,0.7331673100190441,4,,,,,0.0,pure_mcts
65.775,4,24,192,776,4.876550674438477,4.087220191955566,0.040322386,0.4444444444444444,0.0008888888888888888,0.2710215776657723,0.2519364488415031,5,,,,,0.0,pure_mcts
81.097,5,25,200,976,4.767628192901611,3.9984991550445557,0.04701564,0.2962962962962963,0.0005925925925925926,0.36293110253624206,0.37900431151027447,5,,,,,0.0,pure_mcts
97.482,6,29,232,1208,4.605283737182617,3.962887763977051,0.0055630403,0.4444444444444444,0.0008888888888888888,0.45573664086681087,0.44660171133835536,5,,,,,0.0,pure_mcts
113.63,7,21,168,1376,4.649246692657471,3.968338966369629,0.011777939,0.4444444444444444,0.0008888888888888888,0.41411177535542965,0.39733646330277517,5,,,,,0.0,pure_mcts
132.957,8,27,216,1592,4.559332847595215,3.9631357192993164,0.005138417,0.6666666666666666,0.0013333333333333333,0.4303862062308258,0.4900825406350311,5,,,,,0.0,pure_mcts
146.741,9,19,152,1744,4.499820232391357,3.9133529663085938,0.021713352,0.6666666666666666,0.0013333333333333333,0.4857021766438301,0.45926095828505786,5,,,,,0.0,pure_mcts
164.38,10,26,208,1952,4.549605369567871,3.863896369934082,0.045817763,0.4444444444444444,0.0008888888888888888,0.2978320008544193,0.29868324539007396,5,,,,,0.0,pure_mcts
173.822,11,15,120,2072,4.456753730773926,3.8437256813049316,0.029008955,0.4444444444444444,0.0008888888888888888,0.34585284751666245,0.33982058739844967,5,,,,,0.0,pure_mcts
184.039,12,15,120,2192,4.376208782196045,3.8092851638793945,0.033336516,0.4444444444444444,0.0008888888888888888,0.3867567439004168,0.3903552239378967,5,,,,,0.0,pure_mcts
214.169,13,44,352,2544,4.628486633300781,3.7863709926605225,0.060092878,0.2962962962962963,0.0005925925925925926,0.0799181443599355,0.1663990012316776,5,,,,,0.0,pure_mcts
