timestamp,batch,episode_len,augmented_samples,buffer_size,loss,entropy,kl,lr_multiplier,effective_lr,explained_var_old,explained_var_new,update_steps,win_ratio,eval_wins,eval_losses,eval_ties,best_win_ratio,opponent_type
14.44,1,21,168,168,,,,,,,,,,,,,0.0,pure_mcts
25.474,2,21,168,336,,,,,,,,,,,,,0.0,pure_mcts
37.794,3,25,200,536,5.127227306365967,4.1522369384765625,0.029543256,1.0,0.002,-0.00042671776645497594,0.0,5,,,,,0.0,pure_mcts
49.785,4,21,168,704,5.057544231414795,4.035667896270752,0.09524615,0.6666666666666666,0.0013333333333333333,0.0,0.0,1,,,,,0.0,pure_mcts
57.117,5,13,104,808,4.949204444885254,3.9741432666778564,0.07799062,0.4444444444444444,0.0008888888888888888,0.0,0.0,5,,,,,0.0,pure_mcts
68.384,6,23,184,992,4.905052661895752,3.8976993560791016,0.015053886,0.4444444444444444,0.0008888888888888888,0.0,0.0,5,,,,,0.0,pure_mcts
77.632,7,17,136,1128,4.8871917724609375,3.869323968887329,0.010772391,0.4444444444444444,0.0008888888888888888,0.0,0.0,5,,,,,0.0,pure_mcts
91.5,8,26,208,1336,4.833000183105469,3.8238611221313477,0.0062700184,0.6666666666666666,0.0013333333333333333,0.0,0.0,5,,,,,0.0,pure_mcts
99.162,9,16,128,1464,4.813424587249756,3.8021812438964844,0.010566391,0.6666666666666666,0.0013333333333333333,0.0,0.0,5,,,,,0.0,pure_mcts
107.389,10,15,120,1584,4.799565315246582,3.7837791442871094,0.00894792,1.0,0.002,0.0,0.0,5,,,,,0.0,pure_mcts
114.447,11,13,104,1688,4.768426895141602,3.766491174697876,0.025812348,1.0,0.002,0.0,0.0,5,,,,,0.0,pure_mcts
121.139,12,12,96,1784,4.748474597930908,3.7282183170318604,0.05898844,0.6666666666666666,0.0013333333333333333,0.0,0.0,5,,,,,0.0,pure_mcts
125.657,13,10,80,1864,4.712723731994629,3.68373966217041,0.049950127,0.4444444444444444,0.0008888888888888888,0.0,0.0,5,,,,,0.0,pure_mcts
136.043,14,19,152,2016,4.706636428833008,3.755859851837158,0.032927923,0.4444444444444444,0.0008888888888888888,0.0,0.0,5,,,,,0.0,pure_mcts
144.724,15,16,128,2144,4.677644729614258,3.682347297668457,0.02223,0.4444444444444444,0.0008888888888888888,0.0,0.0,5,,,,,0.0,pure_mcts
153.006,16,15,120,2264,4.658981800079346,3.659459352493286,0.02673449,0.4444444444444444,0.0008888888888888888,0.0,0.0,5,,,,,0.0,pure_mcts
162.79,17,20,160,2424,4.619963645935059,3.6789968013763428,0.03270985,0.4444444444444444,0.0008888888888888888,0.0,0.0,5,,,,,0.0,pure_mcts
170.867,18,15,120,2544,4.635422706604004,3.6501522064208984,0.032864995,0.4444444444444444,0.0008888888888888888,0.0,0.0,5,,,,,0.0,pure_mcts
179.006,19,15,120,2664,4.59326696395874,3.615866184234619,0.030949507,0.4444444444444444,0.0008888888888888888,0.0,0.0,5,,,,,0.0,pure_mcts
187.234,20,17,136,2800,4.580896854400635,3.613292932510376,0.02766261,0.4444444444444444,0.0008888888888888888,0.0,0.0,5,,,,,0.0,pure_mcts
193.397,21,11,88,2888,4.577389240264893,3.6202282905578613,0.022055682,0.4444444444444444,0.0008888888888888888,0.0,0.0,5,,,,,0.0,pure_mcts
201.556,22,15,120,3008,4.566686630249023,3.592510461807251,0.020263592,0.4444444444444444,0.0008888888888888888,0.0,0.0,5,,,,,0.0,pure_mcts
217.023,23,30,240,3248,4.528223991394043,3.539740562438965,0.025241194,0.4444444444444444,0.0008888888888888888,0.0,0.0,5,,,,,0.0,pure_mcts
225.067,24,17,136,3384,4.4958930015563965,3.5189132690429688,0.03276892,0.4444444444444444,0.0008888888888888888,0.0,0.0,5,,,,,0.0,pure_mcts
233.243,25,15,120,3504,4.489148139953613,3.5303711891174316,0.0355204,0.4444444444444444,0.0008888888888888888,0.0,0.0,5,,,,,0.0,pure_mcts
237.8,26,8,64,3568,4.458493232727051,3.4999871253967285,0.023591802,0.4444444444444444,0.0008888888888888888,0.0,0.0,5,,,,,0.0,pure_mcts
246.047,27,15,120,3688,4.458911418914795,3.4950971603393555,0.03504575,0.4444444444444444,0.0008888888888888888,0.0,0.0,5,,,,,0.0,pure_mcts
257.233,28,23,184,3872,4.437005519866943,3.4755940437316895,0.024769865,0.4444444444444444,0.0008888888888888888,0.0,0.0,5,,,,,0.0,pure_mcts
265.487,29,15,120,3992,4.431923866271973,3.4550349712371826,0.031849295,0.4444444444444444,0.0008888888888888888,0.0,0.0,5,,,,,0.0,pure_mcts
272.637,30,13,104,4096,4.395658493041992,3.4310388565063477,0.03872767,0.4444444444444444,0.0008888888888888888,0.0,0.0,5,,,,,0.0,pure_mcts
280.323,31,16,128,4224,4.397128105163574,3.417755126953125,0.03082826,0.4444444444444444,0.0008888888888888888,0.0,0.0,5,,,,,0.0,pure_mcts
286.915,32,12,96,4320,4.39648962020874,3.4232726097106934,0.044873636,0.2962962962962963,0.0005925925925925926,0.0,0.0,5,,,,,0.0,pure_mcts
291.965,33,9,72,4392,4.361926555633545,3.3781509399414062,0.015886135,0.2962962962962963,0.0005925925925925926,0.0,0.0,5,,,,,0.0,pure_mcts
296.448,34,8,64,4456,4.379401683807373,3.379257917404175,0.021941852,0.2962962962962963,0.0005925925925925926,0.0,0.0,5,,,,,0.0,pure_mcts
305.78,35,17,136,4592,4.358086585998535,3.356292963027954,0.023860829,0.2962962962962963,0.0005925925925925926,0.0,0.0,5,,,,,0.0,pure_mcts
310.403,36,8,64,4656,4.363849639892578,3.386845588684082,0.04015608,0.19753086419753085,0.0003950617283950617,0.0,0.0,5,,,,,0.0,pure_mcts
315.985,37,12,96,4752,4.363750457763672,3.402486562728882,0.049000785,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.0,pure_mcts
324.637,38,16,128,4880,4.335000991821289,3.359520673751831,0.026818845,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.0,pure_mcts
333.702,39,17,136,5016,4.303966999053955,3.335667848587036,0.013899343,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.0,pure_mcts
342.041,40,15,120,5136,4.305235862731934,3.3005239963531494,0.016171105,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.0,pure_mcts
349.109,41,15,120,5256,4.243044853210449,3.2878761291503906,0.009762204,0.19753086419753085,0.0003950617283950617,0.0,0.0,5,,,,,0.0,pure_mcts
360.116,42,20,160,5416,4.270334243774414,3.3075618743896484,0.020172263,0.19753086419753085,0.0003950617283950617,0.0,0.0,5,,,,,0.0,pure_mcts
367.415,43,13,104,5520,4.270481586456299,3.289900541305542,0.017760435,0.19753086419753085,0.0003950617283950617,0.0,0.0,5,,,,,0.0,pure_mcts
373.466,44,11,88,5608,4.303494453430176,3.324604034423828,0.012645811,0.19753086419753085,0.0003950617283950617,0.0,0.0,5,,,,,0.0,pure_mcts
380.602,45,15,120,5728,4.25511360168457,3.2791547775268555,0.017255444,0.19753086419753085,0.0003950617283950617,0.0,0.0,5,,,,,0.0,pure_mcts
388.218,46,14,112,5840,4.240412712097168,3.258817195892334,0.020532452,0.19753086419753085,0.0003950617283950617,0.0,0.0,5,,,,,0.0,pure_mcts
396.517,47,15,120,5960,4.2451677322387695,3.2600910663604736,0.018848654,0.19753086419753085,0.0003950617283950617,0.0,0.0,5,,,,,0.0,pure_mcts
403.258,48,12,96,6056,4.256705284118652,3.2632429599761963,0.0240109,0.19753086419753085,0.0003950617283950617,0.0,0.0,5,,,,,0.0,pure_mcts
409.777,49,14,112,6168,4.213150501251221,3.2545111179351807,0.020623185,0.19753086419753085,0.0003950617283950617,0.0,0.0,5,,,,,0.0,pure_mcts
418.814,50,17,136,6304,4.221041679382324,3.22835373878479,0.02718199,0.19753086419753085,0.0003950617283950617,0.0,0.0,5,0.7,7,3,0,0.7,pure_mcts
512.624,51,12,96,6400,4.215104103088379,3.234941005706787,0.018288128,0.19753086419753085,0.0003950617283950617,0.0,0.0,5,,,,,0.7,pure_mcts
520.825,52,15,120,6520,4.231405258178711,3.2368037700653076,0.021118421,0.19753086419753085,0.0003950617283950617,0.0,0.0,5,,,,,0.7,pure_mcts
526.871,53,11,88,6608,4.212435245513916,3.237682819366455,0.01727171,0.19753086419753085,0.0003950617283950617,0.0,0.0,5,,,,,0.7,pure_mcts
531.471,54,10,80,6688,4.186191082000732,3.2085204124450684,0.012449412,0.19753086419753085,0.0003950617283950617,0.0,0.0,5,,,,,0.7,pure_mcts
540.646,55,16,128,6816,4.207606792449951,3.212326765060425,0.030289743,0.19753086419753085,0.0003950617283950617,0.0,0.0,5,,,,,0.7,pure_mcts
546.894,56,10,80,6896,4.199080467224121,3.226585626602173,0.037014693,0.19753086419753085,0.0003950617283950617,0.0,0.0,5,,,,,0.7,pure_mcts
557.585,57,18,144,7040,4.169907093048096,3.2255024909973145,0.0299662,0.19753086419753085,0.0003950617283950617,0.0,0.0,5,,,,,0.7,pure_mcts
562.623,58,10,80,7120,4.174461364746094,3.164541006088257,0.042240135,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.7,pure_mcts
575.68,59,23,184,7304,4.195748805999756,3.1897242069244385,0.02504464,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.7,pure_mcts
579.725,60,7,56,7360,4.189437389373779,3.240995407104492,0.033297196,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.7,pure_mcts
588.885,61,17,136,7496,4.185507774353027,3.1931002140045166,0.023377683,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.7,pure_mcts
596.804,62,17,136,7632,4.157248497009277,3.1832947731018066,0.017818207,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.7,pure_mcts
606.057,63,17,136,7768,4.186115741729736,3.2254059314727783,0.029447999,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.7,pure_mcts
614.141,64,15,120,7888,4.172983646392822,3.1909446716308594,0.022247199,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.7,pure_mcts
620.798,65,12,96,7984,4.1995720863342285,3.2093698978424072,0.015773652,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.7,pure_mcts
626.377,66,12,96,8080,4.174295425415039,3.1967835426330566,0.011186228,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.7,pure_mcts
635.488,67,17,136,8216,4.151739597320557,3.1902194023132324,0.01093327,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.7,pure_mcts
642.562,68,13,104,8320,4.127542018890381,3.1251220703125,0.018870663,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.7,pure_mcts
650.922,69,15,120,8440,4.177887916564941,3.182304859161377,0.016490616,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.7,pure_mcts
656.837,70,13,104,8544,4.120044231414795,3.1417429447174072,0.012198117,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.7,pure_mcts
663.374,71,12,96,8640,4.173593997955322,3.202644109725952,0.02118031,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.7,pure_mcts
668.98,72,10,80,8720,4.19290018081665,3.168764114379883,0.013323268,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.7,pure_mcts
677.962,73,17,136,8856,4.13228702545166,3.180617332458496,0.014495063,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.7,pure_mcts
683.528,74,10,80,8936,4.097442150115967,3.1362361907958984,0.017363979,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.7,pure_mcts
688.49,75,11,88,9024,4.142362117767334,3.1595396995544434,0.016687527,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.7,pure_mcts
694.484,76,11,88,9112,4.117308139801025,3.1865603923797607,0.017177578,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.7,pure_mcts
700.135,77,10,80,9192,4.096683502197266,3.0873470306396484,0.017217208,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.7,pure_mcts
707.419,78,13,104,9296,4.1565093994140625,3.158029079437256,0.021840364,0.1316872427983539,0.0002633744855967078,0.0,0.0,5,,,,,0.7,pure_mcts
