variant,candidate_reduction,time_reduction,win_ratio,strength_preserved
window6_plain,0.4841076452526243,0.04400636133919367,0.0,0.0
window6,0.5005623332846273,-0.1856533545603749,0.6,1.0
window6_top20,0.6364469632909677,-0.2543668613151109,0.325,0.65
window5_top12,0.7630127565067781,-0.16654349474004237,0.3,0.6
window4_top8,0.8590464293150115,-0.19580340323358403,0.5,1.0
