variant,window_size,policy_top_k,include_threats,games,wins,losses,ties,win_ratio,avg_candidate_moves,baseline_avg_candidate_moves,candidate_reduction,seconds,baseline_seconds,seconds_per_move,baseline_seconds_per_move,time_reduction,strength_preserved
window6_plain,6,,False,20,0,20,0,0.0,26.424870466321245,51.22167487684729,0.4841076452526243,49.15936650000003,54.08664016600119,0.2547117435233162,0.26643665106404524,0.04400636133919367,0.0
window6,6,,True,20,10,6,4,0.6,22.152416356877325,44.35471698113208,0.5005623332846273,81.73941953899941,67.91526644499913,0.30386401315613165,0.2562840243207514,-0.1856533545603749,1.0
window6_top20,6,20,True,20,6,13,1,0.325,18.20361990950226,50.07142857142857,0.6364469632909677,51.88804899799993,41.92745621399956,0.23478755202714902,0.18717614381249806,-0.2543668613151109,0.65
window5_top12,5,12,True,20,1,9,10,0.3,8.862650602409639,37.39716312056738,0.7630127565067781,94.9537952040007,82.96667055000012,0.22880432579277277,0.19613870106383005,-0.16654349474004237,0.6
window4_top8,4,8,True,20,10,10,0,0.5,7.872093023255814,55.848837209302324,0.8590464293150115,40.544600807000734,33.90574127600212,0.23572442329651588,0.19712640276745416,-0.19580340323358403,1.0
