timestamp,batch,episode_len,augmented_samples,buffer_size,loss,entropy,kl,lr_multiplier,effective_lr,explained_var_old,explained_var_new,update_steps,win_ratio,eval_wins,eval_losses,eval_ties,best_win_ratio,opponent_model_file
24.066,1,30,240,240,,,,,,,,,,,,,0.0,best_policy_8_8_5.model
37.206,2,22,176,416,,,,,,,,,,,,,0.0,best_policy_8_8_5.model
47.025,3,22,176,592,5.085326671600342,4.149082660675049,0.025886923,1.0,0.002,-0.0005641940378524612,0.0561297005637984,5,,,,,0.0,best_policy_8_8_5.model
61.584,4,24,192,784,4.914422035217285,3.984670639038086,0.102077484,0.6666666666666666,0.0013333333333333333,0.05524100903107598,0.25491360846083644,2,,,,,0.0,best_policy_8_8_5.model
72.433,5,24,192,976,4.308678150177002,3.924589157104492,0.046362586,0.4444444444444444,0.0008888888888888888,0.25666755107990835,0.8275785239176102,5,,,,,0.0,best_policy_8_8_5.model
84.663,6,26,208,1184,4.0015692710876465,3.946089267730713,0.020299645,0.4444444444444444,0.0008888888888888888,0.8269241978577446,0.9792761645375669,5,,,,,0.0,best_policy_8_8_5.model
98.097,7,23,184,1368,4.501123905181885,3.951598644256592,0.0125470385,0.4444444444444444,0.0008888888888888888,0.4440773151464611,0.42836074189597984,5,,,,,0.0,best_policy_8_8_5.model
110.895,8,27,216,1584,4.741614818572998,3.86073899269104,0.021400455,0.4444444444444444,0.0008888888888888888,0.14652110213425518,0.2262042596653009,5,,,,,0.0,best_policy_8_8_5.model
127.675,9,31,248,1832,5.0225725173950195,3.9324512481689453,0.0151520725,0.4444444444444444,0.0008888888888888888,-0.1995047026771397,-0.05740756800649405,5,,,,,0.0,best_policy_8_8_5.model
138.775,10,24,192,2024,4.742650985717773,3.858248710632324,0.026623828,0.4444444444444444,0.0008888888888888888,0.07144992315575172,0.12956628039665052,5,,,,,0.0,best_policy_8_8_5.model
146.341,11,16,128,2152,4.665056228637695,3.8514950275421143,0.029202957,0.4444444444444444,0.0008888888888888888,0.17376227498748031,0.19382393027586975,5,,,,,0.0,best_policy_8_8_5.model
159.343,12,23,184,2336,4.7011399269104,3.866098642349243,0.06379353,0.2962962962962963,0.0005925925925925926,0.11063797430185418,0.1166014070601924,5,,,,,0.0,best_policy_8_8_5.model
176.942,13,38,304,2640,4.656656265258789,3.78118896484375,0.050882638,0.19753086419753085,0.0003950617283950617,0.1105369641251629,0.11916510859763352,5,,,,,0.0,best_policy_8_8_5.model
188.798,14,25,200,2840,4.711908340454102,3.816296100616455,0.03207342,0.19753086419753085,0.0003950617283950617,0.07656442155008902,0.0877691878269814,5,,,,,0.0,best_policy_8_8_5.model
201.389,15,21,168,3008,4.713931083679199,3.8190433979034424,0.02855446,0.19753086419753085,0.0003950617283950617,0.056140648350086364,0.06144754293380883,5,,,,,0.0,best_policy_8_8_5.model
217.004,16,34,272,3280,4.66023588180542,3.772995948791504,0.02756666,0.19753086419753085,0.0003950617283950617,0.08899920086756374,0.0919741229455231,5,,,,,0.0,best_policy_8_8_5.model
237.98,17,37,296,3576,4.713691234588623,3.7871451377868652,0.043158624,0.1316872427983539,0.0002633744855967078,0.02148575032843303,0.04355459223700697,5,,,,,0.0,best_policy_8_8_5.model
250.516,18,27,216,3792,4.739809513092041,3.800865888595581,0.021837369,0.1316872427983539,0.0002633744855967078,0.02912556315462267,0.03239835328504981,5,,,,,0.0,best_policy_8_8_5.model
266.973,19,30,240,4032,4.7209906578063965,3.7749366760253906,0.020756358,0.1316872427983539,0.0002633744855967078,0.02746522353346581,0.0305018429644226,5,,,,,0.0,best_policy_8_8_5.model
275.184,20,17,136,4168,4.7409563064575195,3.780423402786255,0.01660793,0.1316872427983539,0.0002633744855967078,0.007877172367316998,0.01931510130314662,5,,,,,0.0,best_policy_8_8_5.model
291.389,21,37,296,4464,4.766013145446777,3.796191692352295,0.014461676,0.1316872427983539,0.0002633744855967078,-0.007673842568201916,0.0007772686688191088,5,,,,,0.0,best_policy_8_8_5.model
306.617,22,27,216,4680,4.728454113006592,3.785630702972412,0.015243886,0.1316872427983539,0.0002633744855967078,0.02078819275181021,0.021273628523335586,5,,,,,0.0,best_policy_8_8_5.model
313.612,23,15,120,4800,4.745250701904297,3.759791612625122,0.011109882,0.1316872427983539,0.0002633744855967078,0.0074829323509426615,0.011670322542249423,5,,,,,0.0,best_policy_8_8_5.model
322.504,24,19,152,4952,4.7326154708862305,3.7726426124572754,0.014304571,0.1316872427983539,0.0002633744855967078,-0.0007998353324234486,0.009796094288691215,5,,,,,0.0,best_policy_8_8_5.model
333.526,25,19,152,5104,4.709289073944092,3.7779388427734375,0.01292718,0.1316872427983539,0.0002633744855967078,0.021965316840932836,0.036800471377107846,5,,,,,0.0,best_policy_8_8_5.model
338.445,26,10,80,5184,4.678347110748291,3.76777720451355,0.020622589,0.1316872427983539,0.0002633744855967078,0.031053610916655816,0.03260021502939103,5,,,,,0.0,best_policy_8_8_5.model
351.193,27,28,224,5408,4.703449249267578,3.7345516681671143,0.016361559,0.1316872427983539,0.0002633744855967078,0.003007971720920044,0.001692893446428534,5,,,,,0.0,best_policy_8_8_5.model
373.205,28,41,328,5736,4.69119119644165,3.7254323959350586,0.028593376,0.1316872427983539,0.0002633744855967078,-0.00020433091533877956,0.021952436140196596,5,,,,,0.0,best_policy_8_8_5.model
391.315,29,37,296,6032,4.727648735046387,3.7181270122528076,0.032663547,0.1316872427983539,0.0002633744855967078,0.0193005845647104,0.02048277307801527,5,,,,,0.0,best_policy_8_8_5.model
405.067,30,24,192,6224,4.721276760101318,3.724402666091919,0.02472571,0.1316872427983539,0.0002633744855967078,4.937384552550217e-05,0.0067332301420779395,5,,,,,0.0,best_policy_8_8_5.model
416.38,31,24,192,6416,4.698228359222412,3.7076873779296875,0.026061546,0.1316872427983539,0.0002633744855967078,0.011006953214158677,0.009007792328501574,5,,,,,0.0,best_policy_8_8_5.model
421.397,32,10,80,6496,4.703131675720215,3.74526309967041,0.021976719,0.1316872427983539,0.0002633744855967078,0.011399978909131803,0.010947462057940949,5,,,,,0.0,best_policy_8_8_5.model
435.373,33,24,192,6688,4.702642917633057,3.7611098289489746,0.017411174,0.1316872427983539,0.0002633744855967078,-0.0014096956073657019,0.006132813474206356,5,,,,,0.0,best_policy_8_8_5.model
445.559,34,21,168,6856,4.688838958740234,3.742487907409668,0.016121592,0.1316872427983539,0.0002633744855967078,0.007752343806279427,0.011214564814337025,5,,,,,0.0,best_policy_8_8_5.model
457.725,35,22,176,7032,4.6882500648498535,3.726062297821045,0.017401228,0.1316872427983539,0.0002633744855967078,0.006679361285648722,0.009245653183174385,5,,,,,0.0,best_policy_8_8_5.model
473.063,36,28,224,7256,4.683063507080078,3.7218682765960693,0.023231823,0.1316872427983539,0.0002633744855967078,0.0016505742790964284,0.004742900449259846,5,,,,,0.0,best_policy_8_8_5.model
484.669,37,24,192,7448,4.676032066345215,3.7026331424713135,0.018827809,0.1316872427983539,0.0002633744855967078,0.0018720972875228004,0.005216602545774718,5,,,,,0.0,best_policy_8_8_5.model
491.219,38,14,112,7560,4.673649311065674,3.701982021331787,0.021245807,0.1316872427983539,0.0002633744855967078,0.006317089933807307,0.008150419280195775,5,,,,,0.0,best_policy_8_8_5.model
506.896,39,29,232,7792,4.69578742980957,3.6811861991882324,0.02273551,0.1316872427983539,0.0002633744855967078,0.00866422239739939,0.008748466543856859,5,,,,,0.0,best_policy_8_8_5.model
525.345,40,39,312,8104,4.699463844299316,3.696106433868408,0.022331335,0.1316872427983539,0.0002633744855967078,-0.01561515600700547,-0.0011414253303789756,5,,,,,0.0,best_policy_8_8_5.model
541.156,41,28,224,8328,4.702269554138184,3.7212305068969727,0.01923463,0.1316872427983539,0.0002633744855967078,0.005475503197762133,0.003808950772947406,5,,,,,0.0,best_policy_8_8_5.model
554.327,42,29,232,8560,4.68687629699707,3.7134153842926025,0.021360535,0.1316872427983539,0.0002633744855967078,0.006534902319904279,0.008297501877712943,5,,,,,0.0,best_policy_8_8_5.model
561.997,43,16,128,8688,4.66436767578125,3.7039077281951904,0.013002788,0.1316872427983539,0.0002633744855967078,0.0034403344351605636,0.00323253820381042,5,,,,,0.0,best_policy_8_8_5.model
577.346,44,26,208,8896,4.664037227630615,3.7125420570373535,0.019843439,0.1316872427983539,0.0002633744855967078,0.003441531432373357,0.004789975382142431,5,,,,,0.0,best_policy_8_8_5.model
598.806,45,43,344,9240,4.678066730499268,3.7185182571411133,0.019380398,0.1316872427983539,0.0002633744855967078,0.0062034484697104375,0.010102037716951728,5,,,,,0.0,best_policy_8_8_5.model
614.004,46,27,216,9456,4.642002582550049,3.680478572845459,0.019382957,0.1316872427983539,0.0002633744855967078,0.014051598044202196,0.02049640581430401,5,,,,,0.0,best_policy_8_8_5.model
626.593,47,27,216,9672,4.653697967529297,3.6845974922180176,0.018659947,0.1316872427983539,0.0002633744855967078,-0.01015276950957622,-0.005240268354429034,5,,,,,0.0,best_policy_8_8_5.model
648.769,48,41,328,10000,4.678224086761475,3.675609588623047,0.016370272,0.1316872427983539,0.0002633744855967078,-0.001827022881220275,0.006053320691669195,5,,,,,0.0,best_policy_8_8_5.model
658.706,49,19,152,10000,4.690276145935059,3.692625045776367,0.018044299,0.1316872427983539,0.0002633744855967078,0.01125885398124482,0.019166639942093888,5,,,,,0.0,best_policy_8_8_5.model
675.08,50,29,232,10000,4.662241458892822,3.70109224319458,0.012515878,0.1316872427983539,0.0002633744855967078,0.008414064886050787,0.00955958943917945,5,0.0,0,10,0,0.0,best_policy_8_8_5.model
782.461,51,19,152,10000,4.645106792449951,3.6898036003112793,0.012141957,0.1316872427983539,0.0002633744855967078,0.006869728263603991,0.006250315102088844,5,,,,,0.0,best_policy_8_8_5.model
793.313,52,23,184,10000,4.588113784790039,3.6717464923858643,0.015292073,0.1316872427983539,0.0002633744855967078,0.016254049231518963,0.03943435689230734,5,,,,,0.0,best_policy_8_8_5.model
807.555,53,31,248,10000,4.605412006378174,3.6595957279205322,0.019259665,0.1316872427983539,0.0002633744855967078,0.039226634051436116,0.04042424131433908,5,,,,,0.0,best_policy_8_8_5.model
817.648,54,17,136,10000,4.553475379943848,3.6320137977600098,0.012577365,0.1316872427983539,0.0002633744855967078,0.07688579407786544,0.10652748781211008,5,,,,,0.0,best_policy_8_8_5.model
828.183,55,23,184,10000,4.594676494598389,3.6131978034973145,0.0175437,0.1316872427983539,0.0002633744855967078,0.0850492661706389,0.06250015362790562,5,,,,,0.0,best_policy_8_8_5.model
839.386,56,25,200,10000,4.539149284362793,3.655400276184082,0.02522065,0.1316872427983539,0.0002633744855967078,0.05622165111370725,0.05672290969756866,5,,,,,0.0,best_policy_8_8_5.model
849.894,57,16,128,10000,4.601266860961914,3.630298137664795,0.019906472,0.1316872427983539,0.0002633744855967078,0.0499034661791633,0.06472020362036512,5,,,,,0.0,best_policy_8_8_5.model
859.488,58,21,168,10000,4.533401012420654,3.634291648864746,0.013210896,0.1316872427983539,0.0002633744855967078,0.0907203665807288,0.12325612024063659,5,,,,,0.0,best_policy_8_8_5.model
874.217,59,32,256,10000,4.61410665512085,3.65330171585083,0.018475028,0.1316872427983539,0.0002633744855967078,0.031248716767282803,0.02842951597218568,5,,,,,0.0,best_policy_8_8_5.model
886.095,60,21,168,10000,4.585453033447266,3.658653736114502,0.036025845,0.1316872427983539,0.0002633744855967078,0.039420718794716536,0.03718999029822512,5,,,,,0.0,best_policy_8_8_5.model
903.336,61,38,304,10000,4.581418037414551,3.630587577819824,0.020772211,0.1316872427983539,0.0002633744855967078,0.03638055373642901,0.053996315990528676,5,,,,,0.0,best_policy_8_8_5.model
